	0
ID=gene-TB927.1.10	1
ID=gene-TB927.1.30	1
ID=gene-TB927.1.70	1
ID=gene-TB927.1.120	1
ID=gene-TB927.1.250	1
ID=gene-TB927.1.260	1
ID=gene-TB927.1.540	1
ID=gene-TB927.1.560	1
ID=gene-TB927.1.570	1
ID=gene-TB927.1.580	1
ID=gene-TB927.1.610	1
ID=gene-TB927.1.620	1
ID=gene-TB927.1.640	1
ID=gene-TB927.1.650	1
ID=gene-TB927.1.660	1
ID=gene-TB927.1.670	1
ID=gene-TB927.1.680	1
ID=gene-TB927.1.710	1
ID=gene-TB927.1.720	1
ID=gene-TB927.1.730	1
ID=gene-TB927.1.740	1
ID=gene-TB927.1.750	1
ID=gene-TB927.1.760	1
ID=gene-TB927.1.790	1
ID=gene-TB927.1.800	1
ID=gene-TB927.1.810	1
ID=gene-TB927.1.820	1
ID=gene-TB927.1.830	1
ID=gene-TB927.1.840	1
ID=gene-TB927.1.860	1
ID=gene-TB927.1.870	1
ID=gene-TB927.1.880	1
ID=gene-TB927.1.910	1
ID=gene-TB927.1.930	1
ID=gene-TB927.1.1010	1
ID=gene-TB927.1.1050	1
ID=gene-TB927.1.1060	1
ID=gene-TB927.1.1080	1
ID=gene-TB927.1.1100	1
ID=gene-TB927.1.1120	1
ID=gene-TB927.1.1130	1
ID=gene-TB927.1.1140	1
ID=gene-TB927.1.1160	1
ID=gene-TB927.1.1170	1
ID=gene-TB927.1.1180	1
ID=gene-TB927.1.1200	1
ID=gene-TB927.1.1210	1
ID=gene-TB927.1.1240	1
ID=gene-TB927.1.1310	1
ID=gene-TB927.1.1320	1
ID=gene-TB927.1.1330	1
ID=gene-TB927.1.1340	1
ID=gene-TB927.1.1350	1
ID=gene-TB927.1.1370	1
ID=gene-TB927.1.1380	1
ID=gene-TB927.1.1400	1
ID=gene-TB927.1.1440	1
ID=gene-TB927.1.1470	1
ID=gene-TB927.1.1480	1
ID=gene-TB927.1.1500	1
ID=gene-TB927.1.1520	1
ID=gene-TB927.1.1510	1
ID=gene-TB927.1.1530	1
ID=gene-TB927.1.1550	1
ID=gene-TB927.1.1560	1
ID=gene-TB927.1.1600	1
ID=gene-TB927.1.1610	1
ID=gene-TB927.1.1620	1
ID=gene-TB927.1.1640	1
ID=gene-TB927.1.1670	1
ID=gene-TB927.1.1700	1
ID=gene-TB927.1.1710	1
ID=gene-TB927.1.1720	1
ID=gene-TB927.1.1730	1
ID=gene-TB927.1.1740	1
ID=gene-TB927.1.1750	1
ID=gene-TB927.1.1790	1
ID=gene-TB927.1.1800	1
ID=gene-TB927.1.1820	1
ID=gene-TB927.1.1810	1
ID=gene-TB927.1.1840	1
ID=gene-TB927.1.1850	1
ID=gene-TB927.1.1880	1
ID=gene-TB927.1.1890	1
ID=gene-TB927.1.1900	1
