chrom	start	end
AE017150.2	1323	1339
AE017150.2	2173	2189
AE017150.2	5943	5959
AE017150.2	6280	6296
AE017150.2	6828	6844
AE017150.2	8508	8524
AE017150.2	9031	9047
AE017150.2	11579	11595
AE017150.2	11688	11704
AE017150.2	15119	15135
AE017150.2	15419	15435
AE017150.2	15569	15585
AE017150.2	16219	16235
AE017150.2	17819	17835
AE017150.2	18419	18435
AE017150.2	18819	18835
AE017150.2	19819	19835
AE017150.2	21267	21283
AE017150.2	21517	21533
AE017150.2	21767	21783
AE017150.2	22466	22482
AE017150.2	22723	22739
AE017150.2	24029	24045
AE017150.2	24629	24645
AE017150.2	28329	28345
AE017150.2	28459	28475
AE017150.2	28529	28545
AE017150.2	28779	28795
AE017150.2	29580	29596
AE017150.2	30180	30196
AE017150.2	30780	30796
AE017150.2	31280	31296
AE017150.2	32230	32246
AE017150.2	32980	32996
AE017150.2	34430	34446
AE017150.2	37156	37174
AE017150.2	37755	37775
AE017150.2	38406	38424
AE017150.2	38456	38474
AE017150.2	38506	38524
AE017150.2	38556	38574
AE017150.2	40005	40025
AE017150.2	40056	40074
AE017150.2	41367	41383
AE017150.2	43641	43659
AE017150.2	43800	43816
AE017150.2	46561	46577
AE017150.2	51301	51317
AE017150.2	56780	56796
AE017150.2	57212	57228
AE017150.2	59015	59033
AE017150.2	59174	59190
AE017150.2	61965	61981
AE017150.2	64892	64908
AE017150.2	69352	69368
AE017150.2	69490	69506
AE017150.2	74691	74707
AE017150.2	80824	80840
AE017150.2	90632	90648
AE017150.2	93721	93737
AE017150.2	95096	95112
AE017150.2	95379	95395
AE017150.2	95496	95516
AE017150.2	96204	96220
AE017150.2	97104	97120
AE017150.2	97213	97229
AE017150.2	97277	97293
AE017150.2	97386	97402
AE017150.2	97872	97890
AE017150.2	103015	103031
AE017150.2	104576	104592
AE017150.2	105476	105492
AE017150.2	105889	105905
AE017150.2	106149	106165
AE017150.2	106618	106634
AE017150.2	107100	107118
AE017150.2	107376	107392
AE017150.2	108082	108098
AE017150.2	109121	109137
AE017150.2	109168	109184
AE017150.2	110032	110048
AE017150.2	110448	110464
AE017150.2	110466	110482
AE017150.2	110991	111007
AE017150.2	111741	111757
AE017150.2	111958	111974
AE017150.2	114461	114477
AE017150.2	117604	117622
AE017150.2	120616	120632
AE017150.2	121089	121105
AE017150.2	122718	122736
AE017150.2	123206	123222
AE017150.2	123229	123245
AE017150.2	123315	123331
AE017150.2	123379	123395
AE017150.2	123488	123504
