	0
ID=gene-Tb927.2.100	1
ID=gene-Tb927.2.150	1
ID=gene-Tb927.2.170	1
ID=gene-Tb927.2.240	1
ID=gene-Tb927.2.280	1
ID=gene-Tb927.2.340	1
ID=gene-Tb927.2.370	1
ID=gene-Tb927.2.380	1
ID=gene-Tb927.2.400	1
ID=gene-Tb927.2.560	1
ID=gene-Tb927.2.680	1
ID=gene-Tb927.2.690	1
ID=gene-Tb927.2.900	1
ID=gene-Tb927.2.940	1
ID=gene-Tb927.2.950	1
ID=gene-Tb927.2.960	1
ID=gene-Tb927.2.1080	1
ID=gene-Tb927.2.1170	1
ID=gene-Tb927.2.1180	1
ID=gene-Tb927.2.1210	1
ID=gene-Tb927.2.1380	1
ID=gene-Tb927.2.1398	1
ID=gene-Tb927.2.1407	1
ID=gene-Tb927.2.1416	1
ID=gene-Tb927.2.1425	1
ID=gene-Tb927.2.1434	1
ID=gene-Tb927.2.1452	1
ID=gene-Tb927.2.1460	1
ID=gene-Tb927.2.1480	1
ID=gene-Tb927.2.1490	1
ID=gene-Tb927.2.1530	1
ID=gene-Tb927.2.1550	1
ID=gene-Tb927.2.1560	1
ID=gene-Tb927.2.1600	1
ID=gene-Tb927.2.1680	1
ID=gene-Tb927.2.1700	1
ID=gene-Tb927.2.1720	1
ID=gene-Tb927.2.1730	1
ID=gene-Tb927.2.1760	1
ID=gene-Tb927.2.1780	1
ID=gene-Tb927.2.1790	1
ID=gene-Tb927.2.1800	1
ID=gene-Tb927.2.1810	1
ID=gene-Tb927.2.1820	1
ID=gene-Tb927.2.1850	1
ID=gene-Tb927.2.1860	1
ID=gene-Tb927.2.1890	1
ID=gene-Tb927.2.1920	1
ID=gene-Tb927.2.1931	1
ID=gene-Tb927.2.1942	1
ID=gene-Tb927.2.1953	1
ID=gene-Tb927.2.1964	1
ID=gene-Tb927.2.2020	1
ID=gene-Tb927.2.2060	1
ID=gene-Tb927.2.2070	1
ID=gene-Tb927.2.2090	1
ID=gene-Tb927.2.2120	1
ID=gene-Tb927.2.2130	1
ID=gene-Tb927.2.2140	1
ID=gene-Tb927.2.2180	1
ID=gene-Tb927.2.2190	1
ID=gene-Tb927.2.2200	1
ID=gene-Tb927.2.2210	1
ID=gene-Tb927.2.2220	1
ID=gene-Tb927.2.2230	1
ID=gene-Tb927.2.2240	1
ID=gene-Tb927.2.2260	1
ID=gene-Tb927.2.2370	1
ID=gene-Tb927.2.2380	1
ID=gene-Tb927.2.2390	1
ID=gene-Tb927.2.2400	1
ID=gene-Tb927.2.2410	1
ID=gene-Tb927.2.2430	1
ID=gene-Tb927.2.2440	1
ID=gene-Tb927.2.2450	1
ID=gene-Tb927.2.2470	1
ID=gene-Tb927.2.2490	1
ID=gene-Tb927.2.2500	1
ID=gene-Tb927.2.2510	1
ID=gene-Tb927.2.2520	1
ID=gene-Tb927.2.2530	1
ID=gene-Tb927.2.2550	1
ID=gene-Tb927.2.2570	1
ID=gene-Tb927.2.2580	1
ID=gene-Tb927.2.2590	1
ID=gene-Tb927.2.2650	1
ID=gene-Tb927.2.2670	1
ID=gene-Tb927.2.2720	1
ID=gene-Tb927.2.2770	1
ID=gene-Tb927.2.2830	1
ID=gene-Tb927.2.2880	1
ID=gene-Tb927.2.2900	1
ID=gene-Tb927.2.2910	1
ID=gene-Tb927.2.2920	1
ID=gene-Tb927.2.2940	1
ID=gene-Tb927.2.2950	1
ID=gene-Tb927.2.2970	1
ID=gene-Tb927.2.2990	1
ID=gene-Tb927.2.3000	1
ID=gene-Tb927.2.3020	1
ID=gene-Tb927.2.3030	1
ID=gene-Tb927.2.3080	1
ID=gene-Tb927.2.3090	1
ID=gene-Tb927.2.3160	1
ID=gene-Tb927.2.3180	1
ID=gene-Tb927.2.3190	1
ID=gene-Tb927.2.3270	1
ID=gene-Tb927.2.3280	1
ID=gene-Tb927.2.3290	1
ID=gene-Tb927.2.3300	1
ID=gene-Tb927.2.3310	1
ID=gene-Tb927.2.3320	1
ID=gene-Tb927.2.3330	1
ID=gene-Tb927.2.3340	1
ID=gene-Tb927.2.3370	1
ID=gene-Tb927.2.3390	1
ID=gene-Tb927.2.3420	1
ID=gene-Tb927.2.3440	1
ID=gene-Tb927.2.3460	1
ID=gene-Tb927.2.3480	1
ID=gene-Tb927.2.3580	1
ID=gene-Tb927.2.3620	1
ID=gene-Tb927.2.3660	1
ID=gene-Tb927.2.3720	1
ID=gene-Tb927.2.3730	1
ID=gene-Tb927.2.3750	1
ID=gene-Tb927.2.3780	1
ID=gene-Tb927.2.3800	1
ID=gene-Tb927.2.3880	1
ID=gene-Tb927.2.3910	1
ID=gene-Tb927.2.3920	1
ID=gene-Tb927.2.3930	1
ID=gene-Tb927.2.3960	1
ID=gene-Tb927.2.3970	1
ID=gene-Tb927.2.3990	1
ID=gene-Tb927.2.4000	1
ID=gene-Tb927.2.4020	1
ID=gene-Tb927.2.4050	1
ID=gene-Tb927.2.4060	1
